FileNumber,ValueC,ValueRTS100,AbsImprovRTS100,RelImprovRTS100,ΔtRTS100,ValueRTS500,AbsImprovRTS500,RelImprovRTS500,ΔtRTS500
1,3756978,3619881,137097,3.6491296994552536,381144.4,3619881,137097,3.6491296994552536,213429.30000000002
2,2720341,2609764,110577,4.064821285272692,247123.30000000002,2609764,110577,4.064821285272692,222126.6
3,2685534,2629222,56312,2.096864161838949,232454.9,2629222,56312,2.096864161838949,246242.0
4,3131074,3022770,108304,3.4590048015473287,245899.30000000002,3022584,108490,3.4649452552063607,258264.80000000002
5,2891048,2803996,87052,3.0110880206762394,288127.4,2803996,87052,3.0110880206762394,273668.7
6,2710101,2639482,70619,2.6057700432566904,303709.5,2639482,70619,2.6057700432566904,304366.2
7,3211351,3119883,91468,2.8482716464192173,258254.6,3119883,91468,2.8482716464192173,253555.9
8,3236587,3131096,105491,3.259328422192884,251217.30000000002,3131096,105491,3.259328422192884,226147.5
9,2708031,2656454,51577,1.9045941497715497,215254.2,2656454,51577,1.9045941497715497,234745.1
10,3069147,2974773,94374,3.0749260299360053,368861.4,2974773,94374,3.0749260299360053,217135.80000000002
11,3319443,3215287,104156,3.1377553402784746,345225.60000000003,3215287,104156,3.1377553402784746,214102.6
12,2778010,2689680,88330,3.1796141842541967,423775.60000000003,2689680,88330,3.1796141842541967,215928.2
13,3325411,3235059,90352,2.7170175355768054,410734.60000000003,3235059,90352,2.7170175355768054,237756.9
14,2494892,2401156,93736,3.7571165405155815,428587.3,2401156,93736,3.7571165405155815,235335.1
15,3159394,3065740,93654,2.9643026479128594,349959.8,3065740,93654,2.9643026479128594,194062.9
16,2445794,2380942,64852,2.651572454589389,395492.0,2380942,64852,2.651572454589389,221825.1
17,2910132,2849744,60388,2.0750948754214584,376135.9,2849744,60388,2.0750948754214584,259107.2
18,3513809,3430300,83509,2.3765947437666646,344050.0,3430300,83509,2.3765947437666646,192182.7
19,3690922,3576311,114611,3.1052132773328722,358429.9,3576311,114611,3.1052132773328722,224731.80000000002
20,2576066,2491921,84145,3.266414758006977,439270.8,2491921,84145,3.266414758006977,233180.7
21,3149766,3038696,111070,3.5262936992779785,333117.3,3038696,111070,3.5262936992779785,196437.0
22,2525822,2461881,63941,2.5314927180141753,390794.0,2461881,63941,2.5314927180141753,243230.80000000002
23,2883070,2792855,90215,3.129129712424603,445341.2,2792855,90215,3.129129712424603,221595.9
24,3433967,3303737,130230,3.7924068577246084,354025.7,3303737,130230,3.7924068577246084,201235.80000000002
25,3297367,3197745,99622,3.0212590833838027,354461.60000000003,3197745,99622,3.0212590833838027,232381.9
26,3083537,2987436,96101,3.116583326225695,348603.8,2987436,96101,3.116583326225695,200091.4
27,3751925,3638527,113398,3.022395170479154,339944.7,3638527,113398,3.022395170479154,252618.0
28,3787493,3683284,104209,2.751397824365616,285734.60000000003,3683284,104209,2.751397824365616,227529.1
29,3616231,3526055,90176,2.4936460087864964,314254.9,3526055,90176,2.4936460087864964,252227.9
30,2991884,2898332,93552,3.126859196412695,272824.0,2898332,93552,3.126859196412695,220156.1
31,3472251,3401105,71146,2.0489878179889645,251594.30000000002,3401105,71146,2.0489878179889645,216635.7
32,2514912,2427957,86955,3.457576249188839,283285.7,2428323,86589,3.443023056075123,254253.1
33,2676346,2578949,97397,3.639178192954125,208507.7,2578949,97397,3.639178192954125,194017.5
34,3137944,2994943,143001,4.557155895707508,245445.7,2994943,143001,4.557155895707508,221681.2
35,2480134,2387932,92202,3.7176217091495865,263980.5,2387932,92202,3.7176217091495865,252916.7
36,3868158,3717624,150534,3.8916197321826043,293000.2,3717573,150585,3.892938189184619,275102.8
37,2950340,2832345,117995,3.999369564185823,288549.5,2832345,117995,3.999369564185823,278629.9
38,3334575,3201526,133049,3.98998373106018,250807.9,3201526,133049,3.98998373106018,211015.1
39,3357353,3271849,85504,2.5467682427197857,311859.9,3271849,85504,2.5467682427197857,291858.8
40,3498867,3389752,109115,3.1185809577786183,248217.30000000002,3390133,108734,3.1076917184905857,199479.0
41,2628147,2574937,53210,2.0246203884333713,198454.2,2574937,53210,2.0246203884333713,191255.30000000002
42,2805054,2681966,123088,4.388079516472767,285558.9,2681966,123088,4.388079516472767,236706.9
43,3340793,3242057,98736,2.9554659627220246,236613.0,3242057,98736,2.9554659627220246,250098.1
44,3406461,3302363,104098,3.055898775885002,233866.30000000002,3302363,104098,3.055898775885002,193194.9
45,2677047,2594591,82456,3.0801102856991305,200450.9,2594591,82456,3.0801102856991305,196430.80000000002
46,2634099,2552065,82034,3.1143096747692476,211395.7,2552065,82034,3.1143096747692476,205564.4
47,3040470,2934507,105963,3.4850861873328793,211093.4,2934507,105963,3.4850861873328793,201302.5
48,2764082,2672504,91578,3.31314338720776,221866.9,2672504,91578,3.31314338720776,194478.5
49,2597036,2505458,91578,3.5262506950230956,251220.4,2505458,91578,3.5262506950230956,223096.4
50,2952666,2885211,67455,2.284545559843206,264977.9,2885211,67455,2.284545559843206,257787.7
