FileNumber,ValueC,ValueRTS100,AbsImprovRTS100,RelImprovRTS100,ΔtRTS100,ValueRTS500,AbsImprovRTS500,RelImprovRTS500,ΔtRTS500
1,644291,625642,18649,2.8944995351479377,12413.4,625642,18649,2.8944995351479377,13481.1
2,806212,781490,24722,3.0664391003855065,14605.4,781490,24722,3.0664391003855065,18460.8
3,714884,680675,34209,4.785251873031148,11152.1,680675,34209,4.785251873031148,13650.4
4,812384,789018,23366,2.8762260211919486,13654.800000000001,789018,23366,2.8762260211919486,13857.300000000001
5,809412,769248,40164,4.962120650546323,13363.2,769248,40164,4.962120650546323,13926.2
6,809163,751410,57753,7.13737528779739,18195.100000000002,751410,57753,7.13737528779739,15999.9
7,823926,782455,41471,5.0333403728004695,12372.0,782455,41471,5.0333403728004695,11415.800000000001
8,970080,938164,31916,3.2900379350156688,13109.9,938164,31916,3.2900379350156688,25572.4
9,830502,795846,34656,4.172897837693347,26992.7,795846,34656,4.172897837693347,11365.9
10,689297,676189,13108,1.9016476206918063,13210.1,676189,13108,1.9016476206918063,12532.5
11,839541,806059,33482,3.9881316100107083,11434.1,806059,33482,3.9881316100107083,12815.9
12,672541,647804,24737,3.6781400687839105,12395.4,647804,24737,3.6781400687839105,13764.4
13,732182,696375,35807,4.890450734926563,33950.2,696375,35807,4.890450734926563,12219.0
14,642306,614151,28155,4.383424722795677,13057.800000000001,614151,28155,4.383424722795677,27005.0
15,540113,499087,41026,7.595817912177637,11454.0,499087,41026,7.595817912177637,11505.9
16,654115,631714,22401,3.4246271680056255,9496.2,631714,22401,3.4246271680056255,9520.800000000001
17,762935,729739,33196,4.351091508450917,12176.4,729739,33196,4.351091508450917,12443.0
18,777475,753656,23819,3.063635486671597,27979.9,753656,23819,3.063635486671597,25751.2
19,744783,714642,30141,4.04695058829216,11448.0,714642,30141,4.04695058829216,11471.7
20,817067,782790,34277,4.195127204990533,9539.6,782790,34277,4.195127204990533,9572.5
21,785507,768655,16852,2.145365986553907,14759.2,768655,16852,2.145365986553907,20138.100000000002
22,739366,706097,33269,4.499665929999487,28794.7,706097,33269,4.499665929999487,25471.9
23,833736,795226,38510,4.618968114607022,14610.2,795226,38510,4.618968114607022,14395.6
24,995141,955474,39667,3.9860683058983604,16652.7,955474,39667,3.9860683058983604,15721.0
25,562083,539196,22887,4.071818574836812,12740.4,539196,22887,4.071818574836812,11920.5
26,678527,649510,29017,4.276469469895818,28229.100000000002,649510,29017,4.276469469895818,36850.700000000004
27,827644,789454,38190,4.614302767856712,12879.6,789454,38190,4.614302767856712,13571.1
28,829314,791223,38091,4.593073311194554,8815.6,791223,38091,4.593073311194554,9849.2
29,885776,855725,30051,3.392618449811239,14510.6,855725,30051,3.392618449811239,17381.6
30,623020,595973,27047,4.341273153349812,21737.3,595973,27047,4.341273153349812,26147.2
31,833148,803000,30148,3.6185647688045823,12187.300000000001,803000,30148,3.6185647688045823,11346.300000000001
32,627738,604034,23704,3.7760976713214744,13251.7,604034,23704,3.7760976713214744,16495.8
33,749979,714811,35168,4.689197964209665,16355.0,714811,35168,4.689197964209665,15142.5
34,596083,574588,21495,3.606041440537643,12198.800000000001,574588,21495,3.606041440537643,23954.8
35,796420,741895,54525,6.846262022550915,24285.0,741895,54525,6.846262022550915,15640.1
36,767435,738887,28548,3.719924162958427,12291.300000000001,738887,28548,3.719924162958427,12265.300000000001
37,492737,475038,17699,3.5919770587554822,16249.5,475038,17699,3.5919770587554822,16327.1
38,739859,698197,41662,5.6310729476832755,16220.0,698197,41662,5.6310729476832755,28696.0
39,677474,632918,44556,6.5767837584911,25853.100000000002,632918,44556,6.5767837584911,13798.4
40,654031,633850,20181,3.0856335555959884,8471.5,633850,20181,3.0856335555959884,9806.800000000001
41,843798,806395,37403,4.432695976999234,12488.0,806395,37403,4.432695976999234,13685.4
42,624536,607239,17297,2.7695761333213778,27125.8,607239,17297,2.7695761333213778,27936.8
43,642039,590287,51752,8.060569529265356,12743.2,590287,51752,8.060569529265356,14444.2
44,703462,666497,36965,5.254725912700331,13417.7,666497,36965,5.254725912700331,13345.4
45,871521,841969,29552,3.3908534619360866,11067.7,841969,29552,3.3908534619360866,10544.1
46,729063,698639,30424,4.173027571005523,12945.7,698639,30424,4.173027571005523,12812.4
47,974067,937738,36329,3.729620241728752,27353.4,937738,36329,3.729620241728752,25430.9
48,612554,589806,22748,3.7136317777697965,13282.6,589806,22748,3.7136317777697965,13064.300000000001
49,574015,548088,25927,4.516780920359224,13795.4,548088,25927,4.516780920359224,13960.800000000001
50,643644,621013,22631,3.516074103075613,25833.0,621013,22631,3.516074103075613,24456.0
