FileNumber,ValueC,ValueTS100,AbsImprovTS100,RelImprovTS100,ΔtTS100,ValueTS500,AbsImprovTS500,RelImprovTS500,ΔtTS500
1,644291,624134,20157,3.128555264624215,70967.8,624134,20157,3.128555264624215,329210.8
2,806212,780180,26032,3.22892737890282,70734.3,780180,26032,3.22892737890282,276344.8
3,714884,681732,33152,4.63739571734715,73172.40000000001,681732,33152,4.63739571734715,225016.9
4,812384,789018,23366,2.8762260211919486,77433.2,789018,23366,2.8762260211919486,221447.4
5,809412,769248,40164,4.962120650546323,75071.0,769248,40164,4.962120650546323,235052.7
6,809163,751410,57753,7.13737528779739,72912.8,751410,57753,7.13737528779739,235118.4
7,823926,782287,41639,5.053730553472035,73134.7,782287,41639,5.053730553472035,210824.0
8,970080,938164,31916,3.2900379350156688,81346.6,938164,31916,3.2900379350156688,219118.4
9,830502,795846,34656,4.172897837693347,76766.7,795846,34656,4.172897837693347,230264.5
10,689297,676189,13108,1.9016476206918063,83115.40000000001,676189,13108,1.9016476206918063,356918.4
11,839541,806059,33482,3.9881316100107083,76113.7,806059,33482,3.9881316100107083,357332.8
12,672541,647804,24737,3.6781400687839105,77059.6,647804,24737,3.6781400687839105,371850.4
13,732182,696375,35807,4.890450734926563,75304.8,696375,35807,4.890450734926563,336132.10000000003
14,642306,613919,28387,4.419544578440806,75285.7,613919,28387,4.419544578440806,345864.9
15,540113,499087,41026,7.595817912177637,85556.40000000001,499087,41026,7.595817912177637,365024.4
16,654115,631714,22401,3.4246271680056255,74710.2,631714,22401,3.4246271680056255,340798.10000000003
17,762935,729739,33196,4.351091508450917,72185.0,729739,33196,4.351091508450917,332743.5
18,777475,753656,23819,3.063635486671597,72052.5,753656,23819,3.063635486671597,360417.4
19,744783,714642,30141,4.04695058829216,72660.90000000001,714642,30141,4.04695058829216,337694.9
20,817067,782790,34277,4.195127204990533,72453.3,782790,34277,4.195127204990533,354571.7
21,785507,768655,16852,2.145365986553907,92631.8,768655,16852,2.145365986553907,336859.60000000003
22,739366,706097,33269,4.499665929999487,84563.6,706097,33269,4.499665929999487,326805.0
23,833736,795226,38510,4.618968114607022,74282.8,795226,38510,4.618968114607022,351228.9
24,995141,955474,39667,3.9860683058983604,74683.40000000001,955474,39667,3.9860683058983604,336881.10000000003
25,562083,535807,26276,4.674754440180543,75026.1,535807,26276,4.674754440180543,264745.1
26,678527,648781,29746,4.3839080832450295,74260.8,648781,29746,4.3839080832450295,302464.4
27,827644,789454,38190,4.614302767856712,73700.0,789454,38190,4.614302767856712,280303.0
28,829314,791223,38091,4.593073311194554,85117.7,791223,38091,4.593073311194554,299454.7
29,885776,855725,30051,3.392618449811239,72397.7,855725,30051,3.392618449811239,265943.5
30,623020,594303,28717,4.6093223331514235,72202.7,594303,28717,4.6093223331514235,264095.3
31,833148,803000,30148,3.6185647688045823,70549.1,803000,30148,3.6185647688045823,238994.7
32,627738,604034,23704,3.7760976713214744,72430.1,604034,23704,3.7760976713214744,250600.30000000002
33,749979,714811,35168,4.689197964209665,84662.1,714811,35168,4.689197964209665,229061.2
34,596083,574588,21495,3.606041440537643,96056.3,574588,21495,3.606041440537643,248813.6
35,796420,741895,54525,6.846262022550915,73980.7,741895,54525,6.846262022550915,243303.30000000002
36,767435,738474,28961,3.773739795552718,73248.7,738474,28961,3.773739795552718,219978.6
37,492737,475038,17699,3.5919770587554822,72865.0,475038,17699,3.5919770587554822,222891.1
38,739859,698197,41662,5.6310729476832755,76365.8,698197,41662,5.6310729476832755,215046.1
39,677474,632694,44780,6.609847757995141,73497.3,632694,44780,6.609847757995141,231095.6
40,654031,630431,23600,3.6083916511602663,73530.90000000001,630431,23600,3.6083916511602663,218880.4
41,843798,804496,39302,4.65774984060166,82103.8,804496,39302,4.65774984060166,236009.1
42,624536,607239,17297,2.7695761333213778,70804.6,607239,17297,2.7695761333213778,220844.9
43,642039,590287,51752,8.060569529265356,71824.40000000001,590287,51752,8.060569529265356,235060.6
44,703462,666497,36965,5.254725912700331,80168.40000000001,666497,36965,5.254725912700331,226271.6
45,871521,840032,31489,3.6131085768443905,83220.7,840032,31489,3.6131085768443905,222151.30000000002
46,729063,698639,30424,4.173027571005523,73108.8,698639,30424,4.173027571005523,211252.0
47,974067,935839,38228,3.924576030190942,74080.2,935839,38228,3.924576030190942,216610.5
48,612554,589806,22748,3.7136317777697965,84483.1,589806,22748,3.7136317777697965,221550.30000000002
49,574015,548088,25927,4.516780920359224,74129.3,548088,25927,4.516780920359224,218036.7
50,643644,621013,22631,3.516074103075613,73394.7,621013,22631,3.516074103075613,214917.4
